,證券代號,證券名稱
144,1101,台泥
145,1101B,台泥乙特
146,1102,亞泥
147,1103,嘉泥
148,1104,環泥
149,1108,幸福
150,1109,信大
151,1110,東泥
152,1201,味全
153,1203,味王
154,1210,大成
155,1213,大飲
156,1215,卜蜂
157,1216,統一
158,1217,愛之味
159,1218,泰山
160,1219,福壽
161,1220,台榮
162,1225,福懋油
163,1227,佳格
164,1229,聯華
165,1231,聯華食
166,1232,大統益
167,1233,天仁
168,1234,黑松
169,1235,興泰
170,1236,宏亞
171,1256,鮮活果汁-KY
172,1301,台塑
173,1303,南亞
174,1304,台聚
175,1305,華夏
176,1307,三芳
177,1308,亞聚
178,1309,台達化
179,1310,台苯
180,1312,國喬
181,1312A,國喬特
182,1313,聯成
183,1314,中石化
184,1315,達新
185,1316,上曜
186,1319,東陽
187,1321,大洋
188,1323,永裕
189,1324,地球
190,1325,恆大
191,1326,台化
192,1337,再生-KY
193,1338,廣華-KY
194,1339,昭輝
195,1340,勝悅-KY
196,1341,富林-KY
197,1402,遠東新
198,1409,新纖
199,1410,南染
200,1413,宏洲
201,1414,東和
202,1416,廣豐
203,1417,嘉裕
204,1418,東華
205,1419,新紡
206,1423,利華
207,1432,大魯閣
208,1434,福懋
209,1435,中福
210,1436,華友聯
211,1437,勤益控
212,1438,裕豐
213,1439,中和
214,1440,南紡
215,1441,大東
216,1442,名軒
217,1443,立益
218,1444,力麗
219,1445,大宇
220,1446,宏和
221,1447,力鵬
222,1449,佳和
223,1451,年興
224,1452,宏益
225,1453,大將
226,1454,台富
227,1455,集盛
228,1456,怡華
229,1457,宜進
230,1459,聯發
231,1460,宏遠
232,1463,強盛
233,1464,得力
234,1465,偉全
235,1466,聚隆
236,1467,南緯
237,1468,昶和
238,1470,大統新創
239,1471,首利
240,1472,三洋紡
241,1473,台南
242,1474,弘裕
243,1475,本盟
244,1476,儒鴻
245,1477,聚陽
246,1503,士電
247,1504,東元
248,1506,正道
249,1507,永大
250,1512,瑞利
251,1513,中興電
252,1514,亞力
253,1515,力山
254,1516,川飛
255,1517,利奇
256,1519,華城
257,1521,大億
258,1522,堤維西
259,1524,耿鼎
260,1525,江申
261,1526,日馳
262,1527,鑽全
263,1528,恩德
264,1529,樂士
265,1530,亞崴
266,1531,高林股
267,1532,勤美
268,1533,車王電
269,1535,中宇
270,1536,和大
271,1537,廣隆
272,1538,正峰新
273,1539,巨庭
274,1540,喬福
275,1541,錩泰
276,1558,伸興
277,1560,中砂
278,1568,倉佑
279,1582,信錦
280,1583,程泰
281,1587,吉茂
282,1589,永冠-KY
283,1590,亞德客-KY
284,1592,英瑞-KY
285,1598,岱宇
286,1603,華電
287,1604,聲寶
288,1605,華新
289,1608,華榮
290,1609,大亞
291,1611,中電
292,1612,宏泰
293,1614,三洋電
294,1615,大山
295,1616,億泰
296,1617,榮星
297,1618,合機
298,1626,艾美特-KY
299,1701,中化
300,1702,南僑
301,1707,葡萄王
302,1708,東鹼
303,1709,和益
304,1710,東聯
305,1711,永光
306,1712,興農
307,1713,國化
308,1714,和桐
309,1717,長興
310,1718,中纖
311,1720,生達
312,1721,三晃
313,1722,台肥
314,1723,中碳
315,1724,台硝
316,1725,元禎
317,1726,永記
318,1727,中華化
319,1730,花仙子
320,1731,美吾華
321,1732,毛寶
322,1733,五鼎
323,1734,杏輝
324,1735,日勝化
325,1736,喬山
326,1737,臺鹽
327,1760,寶齡富錦
328,1762,中化生
329,1773,勝一
330,1776,展宇
331,1783,和康生
332,1786,科妍
333,1789,神隆
334,1795,美時
335,1802,台玻
336,1805,寶徠
337,1806,冠軍
338,1808,潤隆
339,1809,中釉
340,1810,和成
341,1817,凱撒衛
342,1902,台紙
343,1903,士紙
344,1904,正隆
345,1905,華紙
346,1906,寶隆
347,1907,永豐餘
348,1909,榮成
349,2002,中鋼
350,2002A,中鋼特
351,2006,東和鋼鐵
352,2007,燁興
353,2008,高興昌
354,2009,第一銅
355,2010,春源
356,2012,春雨
357,2013,中鋼構
358,2014,中鴻
359,2015,豐興
360,2017,官田鋼
361,2020,美亞
362,2022,聚亨
363,2023,燁輝
364,2024,志聯
365,2025,千興
366,2027,大成鋼
367,2028,威致
368,2029,盛餘
369,2030,彰源
370,2031,新光鋼
371,2032,新鋼
372,2033,佳大
373,2034,允強
374,2038,海光
375,2049,上銀
376,2059,川湖
377,2062,橋椿
378,2069,運錩
379,2101,南港
380,2102,泰豐
381,2103,台橡
382,2104,國際中橡
383,2105,正新
384,2106,建大
385,2107,厚生
386,2108,南帝
387,2109,華豐
388,2114,鑫永銓
389,2115,六暉-KY
390,2201,裕隆
391,2204,中華
392,2206,三陽工業
393,2207,和泰車
394,2208,台船
395,2227,裕日車
396,2228,劍麟
397,2231,為升
398,2233,宇隆
399,2236,百達-KY
400,2239,英利-KY
401,2243,宏旭-KY
402,2301,光寶科
403,2302,麗正
404,2303,聯電
405,2305,全友
406,2308,台達電
407,2312,金寶
408,2313,華通
409,2314,台揚
410,2316,楠梓電
411,2317,鴻海
412,2321,東訊
413,2323,中環
414,2324,仁寶
415,2327,國巨
416,2328,廣宇
417,2329,華泰
418,2330,台積電
419,2331,精英
420,2332,友訊
421,2337,旺宏
422,2338,光罩
423,2340,光磊
424,2342,茂矽
425,2344,華邦電
426,2345,智邦
427,2347,聯強
428,2348,海悅
429,2349,錸德
430,2351,順德
431,2352,佳世達
432,2353,宏碁
433,2354,鴻準
434,2355,敬鵬
435,2356,英業達
436,2357,華碩
437,2358,廷鑫
438,2359,所羅門
439,2360,致茂
440,2362,藍天
441,2363,矽統
442,2364,倫飛
443,2365,昆盈
444,2367,燿華
445,2368,金像電
446,2369,菱生
447,2371,大同
448,2373,震旦行
449,2374,佳能
450,2375,凱美
451,2376,技嘉
452,2377,微星
453,2379,瑞昱
454,2380,虹光
455,2382,廣達
456,2383,台光電
457,2385,群光
458,2387,精元
459,2388,威盛
460,2390,云辰
461,2392,正崴
462,2393,億光
463,2395,研華
464,2397,友通
465,2399,映泰
466,2401,凌陽
467,2402,毅嘉
468,2404,漢唐
469,2405,浩鑫
470,2406,國碩
471,2408,南亞科
472,2409,友達
473,2412,中華電
474,2413,環科
475,2414,精技
476,2415,錩新
477,2417,圓剛
478,2419,仲琦
479,2420,新巨
480,2421,建準
481,2423,固緯
482,2424,隴華
483,2425,承啟
484,2426,鼎元
485,2427,三商電
486,2428,興勤
487,2429,銘旺科
488,2430,燦坤
489,2431,聯昌
490,2433,互盛電
491,2434,統懋
492,2436,偉詮電
493,2438,翔耀
494,2439,美律
495,2440,太空梭
496,2441,超豐
497,2442,新美齊
498,2443,億麗
499,2444,兆勁
500,2448,晶電
501,2449,京元電子
502,2450,神腦
503,2451,創見
504,2453,凌群
505,2454,聯發科
506,2455,全新
507,2456,奇力新
508,2457,飛宏
509,2458,義隆
510,2459,敦吉
511,2460,建通
512,2461,光群雷
513,2462,良得電
514,2464,盟立
515,2465,麗臺
516,2466,冠西電
517,2467,志聖
518,2468,華經
519,2471,資通
520,2472,立隆電
521,2474,可成
522,2476,鉅祥
523,2477,美隆電
524,2478,大毅
525,2480,敦陽科
526,2481,強茂
527,2482,連宇
528,2483,百容
529,2484,希華
530,2485,兆赫
531,2486,一詮
532,2488,漢平
533,2489,瑞軒
534,2491,吉祥全
535,2492,華新科
536,2493,揚博
537,2495,普安
538,2496,卓越
539,2497,怡利電
540,2498,宏達電
541,2501,國建
542,2504,國產
543,2505,國揚
544,2506,太設
545,2509,全坤建
546,2511,太子
547,2514,龍邦
548,2515,中工
549,2516,新建
550,2520,冠德
551,2524,京城
552,2527,宏璟
553,2528,皇普
554,2530,華建
555,2534,宏盛
556,2535,達欣工
557,2536,宏普
558,2537,聯上發
559,2538,基泰
560,2539,櫻花建
561,2540,愛山林
562,2542,興富發
563,2543,皇昌
564,2545,皇翔
565,2546,根基
566,2547,日勝生
567,2548,華固
568,2597,潤弘
569,2601,益航
570,2603,長榮
571,2605,新興
572,2606,裕民
573,2607,榮運
574,2608,嘉里大榮
575,2609,陽明
576,2610,華航
577,2611,志信
578,2612,中航
579,2613,中櫃
580,2614,東森
581,2615,萬海
582,2616,山隆
583,2617,台航
584,2618,長榮航
585,2630,亞航
586,2633,台灣高鐵
587,2634,漢翔
588,2636,台驊投控
